"Item","Status","Category","Subcategory","Style","Artist","Title","Date","Width","Height","Liking_Mean_All","Valence_Mean_All","Arousal_Mean_All","Complexity_Mean_All","Familarity_Mean_All"
"11107.jpg","New","Scene","Surrealistic tendencies","Abstract and Avant-garde","Ernst, Max","The Anti-Pope",1941,938,1200,3.45,2.6,4.75,5.45,1.45
"11122.jpg","Old","Scene","Surrealistic tendencies","Abstract and Avant-garde","Tooker, George","Subway",1950,1920,974,5.25,2.65,5.2,4.85,1.3
"11126.jpg","Old","Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Triumph des Einhorns",1978,920,1200,3.45,2.45,5.8,5.5,1.2
"11127.jpg","Old","Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Der Tanz mit dem Tod",1983,778,1200,3.65,2.433,5.15,5.1,1.25
"31105.jpg","New","Landscape","Surrealistic tendencies","Abstract and Avant-garde","Matta, Roberto","Invasion of the Night",1941,1894,1200,3.15,3,5,5,1.3
"50815.jpg","Old","Abstract","Cubistic tendencies","Abstract and Avant-garde","Kupka, František","Untitled",1912,856,1200,3.85,4.85,4.8,2.95,1.4
"50908.jpg","New","Abstract","Constructivist tendencies","Abstract and Avant-garde","Malewitsch, Kasimir","Black Square, Blue Triangle",1915,1030,1200,4.55,4.55,2.75,1.4,1.6
"50927.jpg","New","Abstract","Constructivist tendencies","Abstract and Avant-garde","Albers, Josef","Prismatic II",1936,1276,1200,3.15,3.75,2.7,1.7,1.15
"50928.jpg","New","Abstract","Constructivist tendencies","Abstract and Avant-garde","Gallatin, Albert Eugene","Room Space",1937,980,1200,2.55,3.95,2.9,1.75,1.2
"50935.jpg","New","Abstract","Constructivist tendencies","Abstract and Avant-garde","Klee, Paul","Stufen",1929,984,1200,3.45,4.3,2.6,2.05,1.2
"50937.jpg","Old","Abstract","Constructivist tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square",1962,1210,1200,3.55,3.65,2.55,1.85,1.65
"51003.jpg","Old","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","O`Keeffe, Georgia","Abstraction Blue",1927,897,1200,4.7,4.7,2.675,2.64,1.217
"51015.jpg","New","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","Klein, Yves","Blue Sponge-Relief",1957,979,1200,4.6,5.25,2.6,2.45,1.7
"51103.jpg","New","Abstract","Surrealistic tendencies","Abstract and Avant-garde","Gorky, Arshile","The Liver is the cock`s comb",1944,1603,1200,3.7,4.05,5,4.85,1.45
